"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13084","Verify Home Link using Text and CSS Selector","chromium","2026-02-24","passed","2026-02-24","Home","home.spec.ts","",""
"","8370","Home Page and Verify","chromium","2026-02-24","passed","2026-02-24","Home","home.spec.ts","",""
"","14305","Access Orders","chromium","2026-02-24","passed","2026-02-24","My Account","account.spec.ts","",""
"","13766","Verify login and register is visible","chromium","2026-02-24","passed","2026-02-24","Account Page","account.spec.ts","",""
"","6175","Click Get Started Button using CSS","chromium","2026-02-24","passed","2026-02-24","Home","home.spec.ts","",""
"","13538","Access Downloads","chromium","2026-02-24","passed","2026-02-24","My Account","account.spec.ts","",""
"","14075","Verify Recents Posts Count and Verify the Lenght of each List Item","chromium","2026-02-24","passed","2026-02-24","Blog","blog.spec.ts","",""
"","7921","Verify Heading Text using Text Selector","chromium","2026-02-24","passed","2026-02-24","Home","home.spec.ts","",""
"","17541","Fill Contact form and Verify","chromium","2026-02-24","passed","2026-02-24","contact","contact.spec.ts","",""
"","832","Verify Multiple Elements","chromium","2026-02-24","failed","2026-02-24","","home.spec.ts","",""
"","662","Verify Search using XPath Selector","chromium","2026-02-24","failed","2026-02-24","","home.spec.ts","",""
"","15727","About Page and Verify","chromium","2026-02-24","passed","2026-02-24","Home","home.spec.ts","",""
"","17844","Should upload a edit.png file","chromium","2026-02-24","failed","2026-02-24","Upload File","upload.spec.ts","",""
"","12731","Should upload a 2mb.pdf file","chromium","2026-02-24","passed","2026-02-24","Upload File","upload.spec.ts","",""
